Timestamp, Angle, Distance(cm)
13:54:19, 145, 9
13:54:19, 146, 9
13:54:19, 147, 11
13:54:19, 148, 9
13:54:19, 149, 200
13:54:19, 150, 200
13:54:19, 151, 200
13:54:19, 152, 200
13:54:19, 153, 200
13:54:19, 154, 200
13:54:19, 155, 200
13:54:19, 156, 200
13:54:19, 157, 200
13:54:20, 158, 200
13:54:20, 159, 200
13:54:20, 160, 200
13:54:20, 161, 200
13:54:20, 162, 200
13:54:20, 163, 200
13:54:20, 164, 200
13:54:20, 165, 17
13:54:20, 165, 57
13:54:20, 164, 58
13:54:20, 163, 56
13:54:20, 162, 59
13:54:20, 161, 56
13:54:20, 160, 58
13:54:20, 159, 56
13:54:20, 158, 61
13:54:20, 157, 63
13:54:20, 156, 63
13:54:20, 155, 64
13:54:20, 154, 53
13:54:20, 153, 56
13:54:20, 152, 53
13:54:20, 151, 56
13:54:20, 150, 56
13:54:20, 149, 60
13:54:20, 148, 21
13:54:20, 147, 55
13:54:20, 146, 54
13:54:21, 145, 54
13:54:21, 144, 55
13:54:21, 143, 56
13:54:21, 142, 56
13:54:21, 141, 200
13:54:21, 140, 200
13:54:21, 139, 200
13:54:21, 138, 200
13:54:21, 137, 200
13:54:21, 136, 200
13:54:21, 135, 200
13:54:21, 134, 200
13:54:21, 133, 200
13:54:21, 132, 200
13:54:21, 131, 200
13:54:21, 130, 200
13:54:21, 129, 200
13:54:21, 128, 200
13:54:21, 127, 200
13:54:21, 126, 39
13:54:21, 125, 37
13:54:21, 124, 38
13:54:21, 123, 49
13:54:21, 122, 49
13:54:21, 121, 49
13:54:21, 120, 49
13:54:21, 119, 51
13:54:22, 118, 51
13:54:22, 117, 49
13:54:22, 116, 49
13:54:22, 115, 73
13:54:22, 114, 200
13:54:22, 113, 49
13:54:22, 112, 50
13:54:22, 111, 51
13:54:22, 110, 51
13:54:22, 109, 200
13:54:22, 108, 200
13:54:22, 107, 200
13:54:22, 106, 200
13:54:22, 105, 200
13:54:22, 104, 200
13:54:22, 103, 200
13:54:22, 102, 200
13:54:22, 101, 200
13:54:22, 100, 200
13:54:22, 99, 200
13:54:22, 98, 200
13:54:22, 97, 200
13:54:22, 96, 200
13:54:22, 95, 200
13:54:22, 94, 200
13:54:22, 93, 200
13:54:23, 92, 200
13:54:23, 91, 200
13:54:23, 90, 200
13:54:23, 89, 200
13:54:23, 88, 200
13:54:23, 87, 200
13:54:23, 86, 200
13:54:23, 85, 200
13:54:23, 84, 200
13:54:23, 83, 200
13:54:23, 82, 200
13:54:23, 81, 200
13:54:23, 80, 200
13:54:23, 79, 200
13:54:23, 78, 200
13:54:23, 77, 200
13:54:23, 76, 200
13:54:23, 75, 200
13:54:23, 74, 200
13:54:23, 73, 200
13:54:23, 72, 200
13:54:23, 71, 200
13:54:23, 70, 200
13:54:23, 69, 200
13:54:23, 68, 200
13:54:23, 67, 200
13:54:24, 66, 200
13:54:24, 65, 200
13:54:24, 64, 200
13:54:24, 63, 200
13:54:24, 62, 200
13:54:24, 61, 200
13:54:24, 60, 200
13:54:24, 59, 200
13:54:24, 58, 200
13:54:24, 57, 200
13:54:24, 56, 200
13:54:24, 55, 200
13:54:24, 54, 200
13:54:24, 53, 200
13:54:24, 52, 200
13:54:24, 51, 200
13:54:24, 50, 200
13:54:24, 49, 200
13:54:24, 48, 200
13:54:24, 47, 200
13:54:24, 46, 200
13:54:24, 45, 200
13:54:24, 44, 200
13:54:24, 43, 200
13:54:24, 42, 200
13:54:24, 41, 200
13:54:25, 40, 200
13:54:25, 39, 200
13:54:25, 38, 200
13:54:25, 37, 200
13:54:25, 36, 200
13:54:25, 35, 200
13:54:25, 34, 200
13:54:25, 33, 200
13:54:25, 32, 200
13:54:25, 31, 200
13:54:25, 30, 200
13:54:25, 29, 200
13:54:25, 28, 200
13:54:25, 27, 200
13:54:25, 26, 200
13:54:25, 25, 200
13:54:25, 24, 200
13:54:25, 23, 200
13:54:25, 22, 200
13:54:25, 21, 200
13:54:25, 20, 200
13:54:25, 19, 200
13:54:25, 18, 200
13:54:25, 17, 200
13:54:25, 16, 200
13:54:25, 15, 200
13:54:26, 16, 200
13:54:26, 17, 200
13:54:26, 18, 200
13:54:26, 19, 200
13:54:26, 20, 200
13:54:26, 21, 200
13:54:26, 22, 200
13:54:26, 23, 200
13:54:26, 24, 200
13:54:26, 25, 200
13:54:26, 26, 200
13:54:26, 27, 200
13:54:26, 28, 200
13:54:26, 29, 200
13:54:26, 30, 200
13:54:26, 31, 200
13:54:26, 32, 200
13:54:26, 33, 200
13:54:26, 34, 200
13:54:26, 35, 200
13:54:26, 36, 200
13:54:26, 37, 200
13:54:26, 38, 200
13:54:26, 39, 200
13:54:26, 40, 200
13:54:26, 41, 200
13:54:27, 42, 200
13:54:27, 43, 200
13:54:27, 44, 200
13:54:27, 45, 200
13:54:27, 46, 200
13:54:27, 47, 200
13:54:27, 48, 200
13:54:27, 49, 200
13:54:27, 50, 200
13:54:27, 51, 200
13:54:27, 52, 200
13:54:27, 53, 200
13:54:27, 54, 200
13:54:27, 55, 200
13:54:27, 56, 200
13:54:27, 57, 200
13:54:27, 58, 200
13:54:27, 59, 200
13:54:27, 60, 200
13:54:27, 61, 200
13:54:27, 62, 200
13:54:27, 63, 200
13:54:27, 64, 200
13:54:27, 65, 200
13:54:27, 66, 200
13:54:28, 67, 200
13:54:28, 68, 200
13:54:28, 69, 200
13:54:28, 70, 200
13:54:28, 71, 200
13:54:28, 72, 200
13:54:28, 73, 200
13:54:28, 74, 200
13:54:28, 75, 200
13:54:28, 76, 200
13:54:28, 77, 200
13:54:28, 78, 200
13:54:28, 79, 200
13:54:28, 80, 200
13:54:28, 81, 200
13:54:28, 82, 200
13:54:28, 83, 200
13:54:28, 84, 200
13:54:28, 85, 200
13:54:28, 86, 200
13:54:28, 87, 200
13:54:28, 88, 200
13:54:28, 89, 200
13:54:28, 90, 200
13:54:28, 91, 200
13:54:28, 92, 200
13:54:29, 93, 200
13:54:29, 94, 200
13:54:29, 95, 200
13:54:29, 96, 200
13:54:29, 97, 200
13:54:29, 98, 200
13:54:29, 99, 200
13:54:29, 100, 200
13:54:29, 101, 200
13:54:29, 102, 200
13:54:29, 103, 200
13:54:29, 104, 200
13:54:29, 105, 200
13:54:29, 106, 200
13:54:29, 107, 200
13:54:29, 108, 200
13:54:29, 109, 200
13:54:29, 110, 200
13:54:29, 111, 200
13:54:29, 112, 200
13:54:29, 113, 200
13:54:29, 114, 200
13:54:29, 115, 200
13:54:29, 116, 55
13:54:29, 117, 49
13:54:29, 118, 50
13:54:30, 119, 51
13:54:30, 120, 50
13:54:30, 121, 49
13:54:30, 122, 51
13:54:30, 123, 49
13:54:30, 124, 49
13:54:30, 125, 50
13:54:30, 126, 50
13:54:30, 127, 50
13:54:30, 128, 49
13:54:30, 129, 49
13:54:30, 130, 49
13:54:30, 131, 48
13:54:30, 132, 47
13:54:30, 133, 46
13:54:30, 134, 48
13:54:30, 135, 48
13:54:30, 136, 48
13:54:30, 137, 51
13:54:30, 138, 58
13:54:30, 139, 57
13:54:30, 140, 57
13:54:30, 141, 200
13:54:30, 142, 200
13:54:30, 143, 200
13:54:30, 144, 200
13:54:30, 145, 200
13:54:30, 146, 200
13:54:31, 147, 200
13:54:31, 148, 200
13:54:31, 149, 200
13:54:31, 150, 200
13:54:31, 151, 200
13:54:31, 152, 200
13:54:31, 153, 200
13:54:31, 154, 200
13:54:31, 155, 200
13:54:31, 156, 200
13:54:31, 157, 200
13:54:31, 158, 200
13:54:31, 159, 200
13:54:31, 160, 200
13:54:31, 161, 200
13:54:31, 162, 200
13:54:31, 163, 200
13:54:31, 164, 200
13:54:31, 165, 200
13:54:31, 165, 200
13:54:31, 164, 200
13:54:31, 163, 200
13:54:31, 162, 200
13:54:31, 161, 200
13:54:31, 160, 200
13:54:31, 159, 200
13:54:32, 158, 200
13:54:32, 157, 200
13:54:32, 156, 200
13:54:32, 155, 200
13:54:32, 154, 200
13:54:32, 153, 200
13:54:32, 152, 200
13:54:32, 151, 200
13:54:32, 150, 200
13:54:32, 149, 200
13:54:32, 148, 200
13:54:32, 147, 200
13:54:32, 146, 56
13:54:32, 145, 56
13:54:32, 144, 55
13:54:32, 143, 55
13:54:32, 142, 56
13:54:32, 141, 54
13:54:32, 140, 56
13:54:32, 139, 200
13:54:32, 138, 200
13:54:32, 137, 42
13:54:32, 136, 42
13:54:32, 135, 43
13:54:32, 134, 200
13:54:32, 133, 200
13:54:33, 132, 200
13:54:33, 131, 200
13:54:33, 130, 200
